Team,Division,Games,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
North Carolina (Darkside),Men's,7,0,AARON WARSHAUER,,"6'3""",11,1,1,1
North Carolina (Darkside),Men's,7,1,AARON WAN,,,1,,,
North Carolina (Darkside),Men's,7,2,NORMAN ARCHER,,,11,8,1,2
North Carolina (Darkside),Men's,7,3,JD HASTINGS,,,4,3,1,1
North Carolina (Darkside),Men's,7,4,JESSE KOVACS,,"5'7""",,,,
North Carolina (Darkside),Men's,7,5,NATHAN KWON,,"1'0""",5,,,
North Carolina (Darkside),Men's,7,6,BEN MAXSON,,"5'11""",1,,1,
North Carolina (Darkside),Men's,7,8,ALEC TOLENTINO,,,5,,,
North Carolina (Darkside),Men's,7,9,REMINGTON REMMEL,,,,,,
North Carolina (Darkside),Men's,7,10,TAEK LEE,,,,1,,
North Carolina (Darkside),Men's,7,11,JUSTIN MOORE,,,8,1,2,
North Carolina (Darkside),Men's,7,12,Josiah Evans,,,,,,
North Carolina (Darkside),Men's,7,13,ANDREW COHEN,,"10'0""",,1,,
North Carolina (Darkside),Men's,7,14,NICK MACLEOD,,,8,3,1,
North Carolina (Darkside),Men's,7,15,VIKRAM SETHURAMAN,,,3,1,2,1
North Carolina (Darkside),Men's,7,17,SPENCER BECK,,"5'8""",,,,
North Carolina (Darkside),Men's,7,18,Dain Nielsen,,,2,2,1,4
North Carolina (Darkside),Men's,7,21,MATT GOUCHOE-HANAS,,,7,5,2,2
North Carolina (Darkside),Men's,7,22,WALKER MATTHEWS,,,1,2,,
North Carolina (Darkside),Men's,7,23,JAMES ZURAW,,"6'1""",9,5,1,3
North Carolina (Darkside),Men's,7,24,JONATHAN NETHERCUTT,,,4,46,5,16
North Carolina (Darkside),Men's,7,33,KEEGAN EMRICK,,,,,,
North Carolina (Darkside),Men's,7,40,SAMUEL LEE,,,1,,,
North Carolina (Darkside),Men's,7,42,ALEX (EVAN) GROSSKURTH,,"1'0""",1,,,
North Carolina (Darkside),Men's,7,44,Tanner Barcus,,"6'1""",,1,,
North Carolina (Darkside),Men's,7,51,TIMOTHY MCALLISTER,,"10'11""",2,1,,1
North Carolina (Darkside),Men's,7,76,CLAYTON NOBLIT,,,2,1,,1
North Carolina (Darkside),Men's,7,77,BEN SNELL,,,7,11,3,8
Oregon (Fugue),Women's,7,0,ELLA HANSEN,,"5'8""",2,5,1,3
Oregon (Fugue),Women's,7,0,EMILY LOO,,"5'1""",7,1,,
Oregon (Fugue),Women's,7,0,Madison Lostra,,,3,1,1,
Oregon (Fugue),Women's,7,0,JAYDRA ROTOLANTE,,"5'2""",4,1,3,
Oregon (Fugue),Women's,7,2,JESSE SHOFNER,,,6,22,8,21
Oregon (Fugue),Women's,7,3,LAETITIA GUILLET,,,5,1,,1
Oregon (Fugue),Women's,7,5,GABRIELLE AUFDERHEIDE,,,5,1,,1
Oregon (Fugue),Women's,7,6,ANGELA TOCCHI,,,2,6,,
Oregon (Fugue),Women's,7,7,ALEXANDRA ODE,,"5'8""",5,10,2,6
Oregon (Fugue),Women's,7,8,ASHLEY YOUNG,,,5,9,4,3
Oregon (Fugue),Women's,7,9,OLIVIA BARTRUFF,,,23,,2,
Oregon (Fugue),Women's,7,11,BETHANY KAYLOR,,"1'0""",10,20,3,10
Oregon (Fugue),Women's,7,13,AMELIA LANNING,,,4,1,,
Oregon (Fugue),Women's,7,14,SARAFINA ANGSTADT-LETO,,,1,4,,1
Oregon (Fugue),Women's,7,19,LILLIAN WEAVER,,,4,4,1,7
Oregon (Fugue),Women's,7,20,HOPE ZIMA,,"1'0""",2,2,,
Oregon (Fugue),Women's,7,22,RACHEL HERSHEY,,,6,1,,
Oregon (Fugue),Women's,7,25,FOLEY GALVIN,,"10'11""",4,,1,1
Oregon (Fugue),Women's,7,27,HAYLEY WAHLROOS,,,3,7,5,10
Oregon (Fugue),Women's,7,44,KAITLIN BRUNIK,,"5'6""",1,6,1,3
Oregon (Ego),Men's,8,0,TRACE ANDREASON,,,,,,
Oregon (Ego),Men's,8,0,KERRY ATHEY,,,3,,,
Oregon (Ego),Men's,8,0,MARIO BUNDY,,"5'11""",4,8,,3
Oregon (Ego),Men's,8,0,COLTON CLARK,,,11,8,,3
Oregon (Ego),Men's,8,0,DYLAN FREECHILD,,,9,37,3,11
Oregon (Ego),Men's,8,0,Martin Harris,,,1,1,,
Oregon (Ego),Men's,8,0,NICHOLAS HEATON,,,9,1,,
Oregon (Ego),Men's,8,0,SPENCER LATARSKI,,,,,,
Oregon (Ego),Men's,8,0,CONNOR MATTHEWS,,"6'0""",22,4,,7
Oregon (Ego),Men's,8,0,TIM MCGINN,,,,,,3
Oregon (Ego),Men's,8,0,ZACH MEYER,,,7,6,1,2
Oregon (Ego),Men's,8,0,ERIC NORMEN,,,9,3,1,1
Oregon (Ego),Men's,8,0,BRAEDON PETRUS,,"5'5""",4,2,,
Oregon (Ego),Men's,8,0,ADAM REES,,,7,13,1,4
Oregon (Ego),Men's,8,0,JACK SLEVIN,,,,,,
Oregon (Ego),Men's,8,0,TREVOR SMITH,,,8,11,2,4
Oregon (Ego),Men's,8,0,CHRISTOPHER  STRUB,,"5'9""",5,7,3,7
Oregon (Ego),Men's,8,0,WILLIAM WATKINS,,,2,1,,2
Oregon (Ego),Men's,8,3,TY LIVINGSTON,Deep,"1'0""",,,,
Stanford (Stanford (Superfly)),Women's,7,0,Deanna Abrams,Deep,,,,,
Stanford (Stanford (Superfly)),Women's,7,0,Freya Chay,,"5'8""",2,2,,
Stanford (Stanford (Superfly)),Women's,7,0,Natasha Field-marsham,,"5'6""",11,,4,1
Stanford (Stanford (Superfly)),Women's,7,0,Courtney Gegg,,"6'0""",16,2,1,
Stanford (Stanford (Superfly)),Women's,7,0,Rahcel Gianforte,,"5'6""",2,1,,
Stanford (Stanford (Superfly)),Women's,7,0,Shayla Harris,,,4,4,1,1
Stanford (Stanford (Superfly)),Women's,7,0,Michelle McGhee,,"5'8""",3,,,
Stanford (Stanford (Superfly)),Women's,7,0,MICHELA MEISTER,,,8,14,5,8
Stanford (Stanford (Superfly)),Women's,7,0,Francesca Olguin,,"5'8""",8,2,,
Stanford (Stanford (Superfly)),Women's,7,0,ANNE REMPEL,,,7,11,4,5
Stanford (Stanford (Superfly)),Women's,7,2,VERONICA CRUZ,Deep,"5'2""",1,4,,3
Stanford (Stanford (Superfly)),Women's,7,9,Amanda Somvilay,Handler,"5'1""",,,,
Stanford (Stanford (Superfly)),Women's,7,10,HALSEY  HOSTER,Deep,"5'10""",6,6,2,7
Stanford (Stanford (Superfly)),Women's,7,11,Rosemarie Sandino,Deep,,9,3,,1
Stanford (Stanford (Superfly)),Women's,7,13,STEPHANIE LIM,Handler,,4,17,4,11
Stanford (Stanford (Superfly)),Women's,7,14,MONISHA WHITE,Handler,,2,16,11,28
Stanford (Stanford (Superfly)),Women's,7,16,CHRISTINA LI,Mid,,2,1,,
Stanford (Stanford (Superfly)),Women's,7,17,JENNIFER THOMPSON,Handler,,,13,3,4
Stanford (Stanford (Superfly)),Women's,7,24,POOJA DESAI,Deep,,2,1,,1
Stanford (Stanford (Superfly)),Women's,7,60,CAITLIN GO,Handler,,14,4,1,2
Central Florida (Dogs of War),Men's,6,0,Kameron Knight,Defense (Cutter),"5'11""",,,,
Central Florida (Dogs of War),Men's,6,0,Adam Lapikas,,,,,,
Central Florida (Dogs of War),Men's,6,0,Thomas Schulte,,"5'9""",,1,,
Central Florida (Dogs of War),Men's,6,1,BRAWLEY ADAMS,Defense (Handler),,3,16,2,6
Central Florida (Dogs of War),Men's,6,3,TERENCE MURPHY,Defense (Cutter),,12,2,,1
Central Florida (Dogs of War),Men's,6,4,KYLE REEDY,Defense (Cutter),"6'0""",,,,1
Central Florida (Dogs of War),Men's,6,5,MICHAEL FAIRLEY,Deep,"6'4""",14,9,,2
Central Florida (Dogs of War),Men's,6,6,KYLE LOCKWOOD,,,1,1,1,
Central Florida (Dogs of War),Men's,6,7,JOHN COLLINS,Defense (Cutter),,,,,
Central Florida (Dogs of War),Men's,6,8,ALEX  BULLOCK,Handler,"5'10""",3,18,4,5
Central Florida (Dogs of War),Men's,6,9,JACOB RADFORD,Defense (Cutter),"6'1""",,,,
Central Florida (Dogs of War),Men's,6,10,JAMES DANGLER,,"5'10""",2,,,
Central Florida (Dogs of War),Men's,6,12,MATTHEW HELMS,Defense (Handler),,,1,,
Central Florida (Dogs of War),Men's,6,13,ZACHARY MARKS,Defense (Cutter),,3,3,,
Central Florida (Dogs of War),Men's,6,15,CHAD RUSSOM,Defense (Cutter),"6'2""",,,,
Central Florida (Dogs of War),Men's,6,25,JEREMY LANGDON,Deep,"6'2""",10,22,,4
Central Florida (Dogs of War),Men's,6,27,AUSTIN MERCADANTE,Defense (Cutter),"5'11""",5,3,1,
Central Florida (Dogs of War),Men's,6,30,ANDREW MCKELVEY,Handler,"1'0""",3,1,,
Central Florida (Dogs of War),Men's,6,32,AUSTIN MALONE,Defense (Cutter),,,,,
Central Florida (Dogs of War),Men's,6,44,DAVID HANKIN,Defense (Cutter),,4,1,,
Central Florida (Dogs of War),Men's,6,45,Jeffrey Shapiro,,,1,,,
Central Florida (Dogs of War),Men's,6,51,MICHAEL TAYLOR,,"1'0""",,1,,
Central Florida (Dogs of War),Men's,6,74,STUART LITTLE,Defense (Cutter),,22,4,1,3
British Columbia (Thunderbirds),Women's,7,4,Janelle Siwa,Handler,"5'7""",1,2,,
British Columbia (Thunderbirds),Women's,7,7,VICTORIA LAM,Handler,,3,8,,3
British Columbia (Thunderbirds),Women's,7,8,Camille Chanoine,Handler,,1,,,
British Columbia (Thunderbirds),Women's,7,10,Joanna Lo,Cutter,,4,,,1
British Columbia (Thunderbirds),Women's,7,15,Naomi Morcilla,Cutter,,4,1,,2
British Columbia (Thunderbirds),Women's,7,16,Judith Yeo,Handler,,2,2,1,
British Columbia (Thunderbirds),Women's,7,19,AMY LUO,Cutter,"5'2""",4,,1,
British Columbia (Thunderbirds),Women's,7,20,Serena Tam,Handler,"5'9""",1,1,,
British Columbia (Thunderbirds),Women's,7,21,ELLEN AU-YEUNG,Cutter,,7,11,1,1
British Columbia (Thunderbirds),Women's,7,22,LEAH MULHOLLAND,Cutter,"5'9""",1,2,,1
British Columbia (Thunderbirds),Women's,7,25,Esther Au,Cutter,"5'2""",1,4,,
British Columbia (Thunderbirds),Women's,7,27,TERYNN CHAN,Handler,,14,6,,4
British Columbia (Thunderbirds),Women's,7,30,Svenja Kemmer,Cutter,,1,,,
British Columbia (Thunderbirds),Women's,7,31,Jessica Chung,Handler,,2,7,1,2
British Columbia (Thunderbirds),Women's,7,32,Naomi Johnson,Cutter,,4,2,1,
British Columbia (Thunderbirds),Women's,7,33,Kailin Chang,Cutter,"1'0""",10,4,,1
British Columbia (Thunderbirds),Women's,7,34,ZOE SUCHE,Cutter,,2,1,,
British Columbia (Thunderbirds),Women's,7,36,Emma  Madden-Krasnick,Handler,"5'3""",1,,,
British Columbia (Thunderbirds),Women's,7,44,ERIN BUSSIN,Cutter,"5'3""",5,4,1,
British Columbia (Thunderbirds),Women's,7,47,VICTORIA MCCANN,Cutter,,9,9,3,2
British Columbia (Thunderbirds),Women's,7,48,LISA WONG,Cutter,,6,1,,1
British Columbia (Thunderbirds),Women's,7,50,Elise Caron,Cutter,"5'8""",,,,
British Columbia (Thunderbirds),Women's,7,66,Evelyn Chan,Handler,,,,,
British Columbia (Thunderbirds),Women's,7,88,Megan Leong,Handler,,4,7,1,1
British Columbia (Thunderbirds),Women's,7,91,MIRA DONALDSON,Cutter,,2,18,,
Florida State (DUF),Men's,7,0,William Boor,,,,,,
Florida State (DUF),Men's,7,0,ROBERT LARSEN,,,2,1,,
Florida State (DUF),Men's,7,0,Daniel Miller,,"6'0""",,,,
Florida State (DUF),Men's,7,0,Stephen  Muir,,"5'8""",,1,,
Florida State (DUF),Men's,7,1,JASON HOLLERAN,,"6'3""",,1,,2
Florida State (DUF),Men's,7,2,ROBERT PATTERSON,,,3,3,,
Florida State (DUF),Men's,7,3,ANDREW RONEY,,,10,23,,5
Florida State (DUF),Men's,7,5,Thomas Mazza,,"5'10""",4,,1,1
Florida State (DUF),Men's,7,8,CHENTE ORTIZ,,"5'9""",,,,1
Florida State (DUF),Men's,7,11,LIAM RAWSON,,,3,,,
Florida State (DUF),Men's,7,12,WAYDE VOSS,,,3,,,
Florida State (DUF),Men's,7,14,Austin Bass,,,1,,,
Florida State (DUF),Men's,7,16,ZACH WERNICK,,,7,3,,
Florida State (DUF),Men's,7,18,CHRISTOPHER LAROCQUE,,"6'2""",12,40,2,6
Florida State (DUF),Men's,7,19,BRYCE VOKUS,,"6'0""",,,,
Florida State (DUF),Men's,7,20,Keno Catabay,,"5'11""",,,,
Florida State (DUF),Men's,7,22,Spencer Howett,,"5'8""",,,,
Florida State (DUF),Men's,7,23,PETER VAN BRUSSEL,,"6'3""",,,,
Florida State (DUF),Men's,7,25,COLE FRIEDES,,,2,,,
Florida State (DUF),Men's,7,27,CONNOR HOLCOMBE,,,24,8,,1
Florida State (DUF),Men's,7,28,ANDREW LAROCQUE,,"1'0""",9,8,1,2
Florida State (DUF),Men's,7,33,KODY COTTON,,"1'0""",3,,,
Florida State (DUF),Men's,7,35,James Dobson,,,1,,,
