Team,Division,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
North Carolina (Darkside),Men's,0,AARON WARSHAUER,,"6'3""",11,1,1,1
North Carolina (Darkside),Men's,1,AARON WAN,,,1,,,
North Carolina (Darkside),Men's,2,NORMAN ARCHER,,,11,8,1,2
North Carolina (Darkside),Men's,3,JD HASTINGS,,,4,3,1,1
North Carolina (Darkside),Men's,4,JESSE KOVACS,,"5'7""",,,,
North Carolina (Darkside),Men's,5,NATHAN KWON,,"1'0""",5,,,
North Carolina (Darkside),Men's,6,BEN MAXSON,,"5'11""",1,,1,
North Carolina (Darkside),Men's,8,ALEC TOLENTINO,,,5,,,
North Carolina (Darkside),Men's,9,REMINGTON REMMEL,,,,,,
North Carolina (Darkside),Men's,10,TAEK LEE,,,,1,,
North Carolina (Darkside),Men's,11,JUSTIN MOORE,,,8,1,2,
North Carolina (Darkside),Men's,12,Josiah Evans,,,,,,
North Carolina (Darkside),Men's,13,ANDREW COHEN,,"10'0""",,1,,
North Carolina (Darkside),Men's,14,NICK MACLEOD,,,8,3,1,
North Carolina (Darkside),Men's,15,VIKRAM SETHURAMAN,,,3,1,2,1
North Carolina (Darkside),Men's,17,SPENCER BECK,,"5'8""",,,,
North Carolina (Darkside),Men's,18,Dain Nielsen,,,2,2,1,4
North Carolina (Darkside),Men's,21,MATT GOUCHOE-HANAS,,,7,5,2,2
North Carolina (Darkside),Men's,22,WALKER MATTHEWS,,,1,2,,
North Carolina (Darkside),Men's,23,JAMES ZURAW,,"6'1""",9,5,1,3
North Carolina (Darkside),Men's,24,JONATHAN NETHERCUTT,,,4,46,5,16
North Carolina (Darkside),Men's,33,KEEGAN EMRICK,,,,,,
North Carolina (Darkside),Men's,40,SAMUEL LEE,,,1,,,
North Carolina (Darkside),Men's,42,ALEX (EVAN) GROSSKURTH,,"1'0""",1,,,
North Carolina (Darkside),Men's,44,Tanner Barcus,,"6'1""",,1,,
North Carolina (Darkside),Men's,51,TIMOTHY MCALLISTER,,"10'11""",2,1,,1
North Carolina (Darkside),Men's,76,CLAYTON NOBLIT,,,2,1,,1
North Carolina (Darkside),Men's,77,BEN SNELL,,,7,11,3,8
